username	time	date	city	tweet	flixbus	bahn	blablacar	country
metronom4me	14:55:01	18.11.2017		82020 Bremen Hbf → Hamburg Hbf hat in Hamburg Hbf (planmäßig 14:42) +12 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
metronom_RE3	14:55:03	18.11.2017		81624 Lüneburg → Hamburg Hbf hat in Bardowick (planmäßig 14:38) +15 min. Grund: Überholung durch einen anderen Zug .	0	1	0	
decay23	14:55:21	18.11.2017		"RT @maerz2000: Güter gehören auf die Bahn.
Straßen gehören zurückgebaut.
Radwege gehören ausgebaut!

https://t.co/leIgD3IFAg https://t.co/f…"	0	1	0	Osnabrück
Karfiii	14:55:33	18.11.2017		Wenn der Opa in der Bahn dir erzählt wie es war als der Effzeh die erste Meisterschaft gewonnen hat und dabei glänzende Augen hat. 🔴⚪️	0	1	0	CCAA
bisschenvegan	14:55:46	18.11.2017		@annafrost @BlogButterflies Nicht einnimmt. Macht Sinne. Und es half wirklich. Bekam zwar auch Muskelrelaxanzien, a… https://t.co/4pUis3f2Xe	0	1	0	Bei Hamburg
Arschpauke	14:55:54	18.11.2017	Hamburg	RT @DonnieOsullivan: Manchmal, wenn mir in der U-Bahn langweilig ist, tue ich so, als könnte ich die Gespräche von ausländischen Tourist… 	0	1	0	 Deutschland
elektropunk	14:56:00	18.11.2017		"RT @c_v_e_n: #Berlin #THF #meinTempelhof für unsere Sicherheit sorgt heute Zug ""Einhorn"" der @polizeiberlin  ;-) https://t.co/8xEoAwdgum"	0	1	0	Berlin 36
GesellAnton	14:56:24	18.11.2017		Wien-Bratislava: Schnelles Comeback der Pressburger Bahn https://t.co/b6JANPDWB4	0	1	0	TwinCity - Wien Bratislava
darthtoastbrot	14:56:35	18.11.2017		@DanWOB Auf einen Dienstag im Winter definitiv! Werde wohl auch darauf zurückgreifen. Der erste normale Zug würde e… https://t.co/U66aQSRr4a	0	1	0	
NatalieGraf20	14:56:41	18.11.2017		Nachdem der gestrige Zug ausgefallen ist hab ich mich nicht mehr viel gemeldet gestern.. &lt;3 heute wird noch fleißig… https://t.co/vkuVIDAsIX	0	1	0	
nordwestnews24	14:57:11	18.11.2017	Bremen	#erixxinfo: Zug 83720 von Hannover Hbf nach Buchholz(Nordheide) verkehrt heute mit 19 min Verspätung ab Handeloh (p… https://t.co/q1ACy7Z085	0	1	0	 Deutschland
janistschlau	14:57:19	18.11.2017		wenn die bahn verspätung hat, wird der boi ausfallend https://t.co/G5i3r9h81l	0	1	0	ffm
KorruptPolitik	14:57:35	18.11.2017		"RT @merdeux_: @SarahRambatz Solche Überfälle machen Bahnfahren zur neuen deutschen Hölle.
https://t.co/aUOoGbuEsp"	0	1	0	
metronom4me	14:58:01	18.11.2017		81624 Lüneburg → Hamburg Hbf hat in Radbruch (planmäßig 14:42) +15 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
siebendude	14:58:04	18.11.2017		Lol bin so zur Bahn gelaufen wurde dann angehupt und die haben so gewunken so 1 Mädchen und 1 Typ hab zurück gewunk… https://t.co/6BiSiLLhUa	0	1	0	
Helgenhaft	14:58:10	18.11.2017		@LijaBook @CyellvonNythan Nehmen gleich die Bahn Richtung Friesenplatz	0	1	0	Behind You
enricoS74	14:58:30	18.11.2017	Zürich	@TurkWarNews @TobiasHuch Du langweilst mich Kanake. Schmeiss dich vor einem Zug oder spring vom Dach. Hauptsache du hörst auf zu atmen	0	1	0	 Schweiz
RedBee45	14:58:33	18.11.2017		@NordwindK Weil der Junge nicht an den Gleisen spielen darf, oder? Hat die Mama ihm immer und immer wieder gesagt,… https://t.co/XLBr5pIlkj	0	1	0	Untermhut 
EigenesAlaska	14:59:01	18.11.2017		Wieso nochmal fährt man nach'm shoppen mit der Bahn? 😅 https://t.co/BvL3hE8jnb	0	1	0	intensity
sadino22	14:59:02	18.11.2017		RT @luba_cibre: WARUM IN EINEM ZUG NOCH ANDERE MENSCHEN SIND, HABE ICH GEFRAGT.	0	1	0	Oberlausitz
metronom4me	14:59:02	18.11.2017		82819 Uelzen → Göttingen hat in Nordstemmen (planmäßig 14:50) +10 min. Grund: Überholung durch einen anderen Zug .	0	1	0	Uelzen, Niedersachsen, Germany
